Evaluation,Best,Average,Worst
21300,882.1299002006149,942.2675433674111,1517.4591932645194
21400,882.1299002006149,939.4345673265144,1412.2516942220925
21500,882.1299002006149,942.9399344533009,1342.1602403905517
21600,882.1299002006149,942.500252406679,1472.7402750732595
21700,882.1299002006149,935.1049433196073,1308.5743076514893
21800,882.1299002006149,952.6673481179619,1525.5334101731469
21900,882.1299002006149,946.000464607406,1516.5857317194125
22000,882.1299002006149,951.9008338383458,1472.7402750732595
22100,882.1299002006149,939.3671113160333,1504.8001667304102
22200,882.1299002006149,942.6065699945748,1275.5163566836509
22300,882.1299002006149,934.8306415819563,1342.1602403905517
22400,882.1299002006149,937.4066949401805,1424.8976685170812
22500,882.1299002006149,961.8876823028191,1499.5968045790173
22600,882.1299002006149,933.5878355180481,1368.0602052948693
22700,882.1299002006149,955.7555685659802,1467.2716847361046
22800,882.1299002006149,958.0224934171639,1485.3512553501278
22900,882.1299002006149,960.7321612304503,1485.3512553501278
23000,882.1299002006149,961.4448137534612,1485.3512553501278
23100,882.1299002006149,970.0951187008802,1485.3512553501278
23200,882.1299002006149,943.0794109118688,1563.2618152197158
23300,882.1299002006149,923.3336680370084,1376.4584309768863
23400,882.1299002006149,942.3176163098548,1393.5790671658654
23500,882.1299002006149,930.1616976056893,1467.2716847361046
23600,882.1299002006149,941.9627864945236,1399.2076776962206
23700,882.1299002006149,940.1582126838177,1375.3628154726402
23800,882.1299002006149,950.1502310920424,1395.1671258629133
23900,882.1299002006149,955.0971630947183,1395.898832383724
24000,882.1299002006147,930.3470072936623,1355.1257682448863
24100,882.1299002006147,946.5900216441627,1472.0936622474533
24200,882.1299002006147,958.9401634366232,1375.2990389717781
24300,882.1299002006147,992.4110521370174,1483.9434460727655
24400,882.1299002006147,952.9279005144962,1322.2329558436043
24500,882.1299002006147,956.5802761118665,1291.6173298452566
24600,882.1299002006147,926.168215508051,1406.8080740827618
24700,882.1299002006147,948.4517039061998,1399.4234233648533
24800,882.1299002006147,955.5852865231942,1382.6103824294628
24900,882.1299002006147,969.1688360754882,1404.9998835060676
25000,882.1299002006147,930.7118090031944,1349.9420577128315
25100,882.1299002006147,932.6104113916845,1310.270320504386
25200,882.1299002006147,951.606139024625,1540.2283739098489
25300,882.1299002006147,953.211886413888,1391.0177857872977
25400,882.1299002006147,964.0792800445419,1308.4088549183998
25500,882.1299002006147,943.4032226703661,1329.665939762396
25600,882.1299002006147,941.6399143406843,1296.7238074931204
25700,882.1299002006147,958.9306988705138,1540.2283739098489
25800,882.1299002006147,947.851477118209,1508.1684822526981
25900,882.1299002006147,943.7969052774785,1341.2511472957733
26000,863.2619370961277,959.9697809186093,1341.2511472957733
26100,863.2619370961277,967.8534261227701,1508.1684822526981
26200,863.2619370961277,957.6490047797121,1468.2498017136586
26300,863.2619370961277,973.4655426829272,1448.2448755834062
26400,863.2619370961277,982.4710990123463,1361.877495074922
26500,858.6688479358286,1014.1994723669516,1431.1788730977596
26600,858.6688479358286,979.9809775407941,1455.423302112839
26700,850.2134473851193,932.7300594046344,1497.2475602304578
26800,845.5959112145999,947.1144814700821,1504.7521168853782
26900,845.5959112145999,934.637830885139,1401.285559147527
27000,838.944838334887,957.8171886077694,1403.1356829445965
27100,838.944838334887,933.8601408941967,1463.4860393647625
27200,838.944838334887,931.6826186377117,1352.941337356658
27300,838.9448383348868,939.9259633727194,1407.354717091548
27400,838.9448383348868,923.5388884354355,1472.1977749093628
27500,838.9448383348868,948.1929581061173,1395.043798750209
27600,838.9448383348868,917.6528061124726,1441.3034951215288
27700,838.9448383348868,906.9082957004756,1419.7860542435292
27800,838.9448383348868,922.2759372462928,1378.5916339655403
27900,838.9448383348868,907.6591841274038,1454.0398551152637
28000,838.0571314539272,895.9176123561407,1307.988120651404
28100,838.0571314539272,909.4726572413883,1382.1936078595454
28200,838.0571314539272,935.0818787535334,1398.1481902556677
28300,838.0571314539272,937.3142420620629,1422.8897479956875
28400,836.7495553489523,926.1606808770742,1347.4412646741291
28500,835.7632625487724,941.5849087900277,1458.7949691986466
28600,835.7632625487724,920.8469977214422,1352.961500634571
28700,833.2467297553294,918.5111239050956,1357.5078873916439
28800,833.2467297553294,905.1308517835766,1349.74772390375
28900,831.9391536503545,902.5974132985112,1378.9500135138896
29000,831.9391536503545,896.7764197438029,1491.1380526974929
29100,831.9391536503545,896.7597542326133,1482.1266593564253
29200,831.9391536503545,901.653189418937,1376.4334807204464
29300,831.9391536503545,915.8763543664135,1521.9600354633853
29400,831.1704542230163,897.1879266655907,1482.1266593564253
29500,831.1704542230163,895.2414427819205,1335.8062677147086
29600,831.1704542230163,881.2962081942371,1381.3695476496591
29700,831.1704542230163,889.4927962628956,1336.8113008445473
29800,831.1704542230163,875.5549978328735,1294.938649513138
29900,831.1704542230163,878.2761449697582,1417.4393787756526
30000,831.1704542230163,904.7591106817948,1413.5609770126705
30100,831.1704542230163,911.8539160552526,1354.2466209433787
30200,831.1704542230163,884.1361369671653,1281.976247188957
30300,831.1704542230163,887.3641963726416,1346.7113960272172
30400,831.1704542230163,886.5907719733239,1258.544723402965
30500,831.1704542230163,886.9239736262283,1422.2600759587226
30600,831.1704542230163,883.0627092386917,1325.9836804545407
30700,831.1704542230163,889.7783595403537,1325.3246998120937
30800,831.1704542230163,920.7256398375577,1423.3901770333157
30900,831.1704542230163,882.9156772940638,1282.7996892195893
31000,831.1704542230163,882.904621958503,1262.0869565426704
31100,831.1704542230163,939.367307634796,1422.2600759587226
31200,831.1704542230163,893.0933904904958,1336.0426014172094
31300,831.1704542230163,886.4540080295587,1346.7113960272172
31400,831.1704542230163,882.4284432319374,1354.2466209433787
31500,831.1704542230163,891.0396951127876,1431.7097380904859
31600,831.1704542230163,874.225360835034,1422.2600759587226
31700,831.1704542230163,881.7447944813742,1347.1725674258753
31800,831.1704542230163,889.484145392008,1334.6882703211966
31900,831.1704542230163,902.8542809024485,1325.3246998120937
32000,831.1704542230163,901.4763542528057,1417.4393787756526
32100,831.1704542230163,873.5652347713526,1203.6163708324511
32200,831.1704542230163,877.8563553029974,1334.6882703211966
32300,831.1704542230163,900.8817693114216,1312.732928916157
32400,831.1704542230163,881.430468237712,1236.013120673187
32500,831.1704542230163,901.6436713277113,1354.2466209433787
32600,831.1704542230163,892.6409279104154,1361.2340413942584
32700,831.1704542230163,870.055672460808,1250.2964324840623
32800,831.1704542230163,897.8532051186684,1317.724156728276
32900,831.1704542230163,903.4916255888492,1320.5927731012096
33000,831.1704542230163,897.6487866591655,1268.9840532263402
33100,831.1704542230163,891.9431104185344,1361.2340413942584
33200,831.1704542230163,885.6563042040204,1336.0426014172094
33300,831.1704542230163,868.3514723356368,1265.8180433358405
33400,831.1704542230163,911.6640253494852,1417.4393787756526
33500,831.1704542230163,905.3622654771722,1374.6560544355434
33600,831.1704542230163,904.4898722097546,1361.2329927143876
33700,831.1704542230163,891.3426945387549,1413.5609770126705
33800,831.1704542230163,889.1033580711094,1312.732928916157
33900,831.1704542230163,893.3666788005662,1354.2466209433787
34000,831.1704542230163,890.3152123468581,1380.695227544976
34100,831.1704542230163,893.1447369259878,1511.2770933433992
34200,831.1704542230163,891.617337391903,1366.373156505543
34300,831.1704542230163,898.4717263618836,1247.0878013247366
34400,831.1704542230163,900.2050532135105,1366.373156505543
34500,831.1704542230163,903.8943578882339,1316.6322977742584
34600,831.1704542230163,881.921135169046,1417.4393787756526
34700,831.1704542230163,899.0303139410366,1334.6882703211966
34800,831.1704542230163,894.0804474702123,1423.3901770333157
34900,831.1704542230163,898.1516101836861,1380.695227544976
35000,831.1704542230163,906.7308241623829,1336.0426014172094
35100,831.1704542230163,895.3878910733403,1287.671800921918
35200,831.1704542230163,886.704359326798,1423.3901770333157
35300,831.1704542230163,907.0569261998473,1380.695227544976
35400,831.1704542230163,883.1995181743175,1320.5927731012096
35500,831.1704542230163,898.5335076532313,1417.4393787756526
35600,831.1704542230163,912.5496458246882,1422.2600759587226
35700,831.1704542230163,892.6159064065541,1325.3246998120937
35800,831.1704542230163,886.5229199135666,1366.373156505543
35900,831.1704542230163,894.8997644197545,1346.3664682484593
36000,831.1704542230163,888.2103904131545,1241.5795221487722
36100,831.1704542230163,902.6188470346793,1336.0426014172094
36200,831.1704542230163,917.5749957683452,1373.9933157428009
36300,831.1704542230163,874.4795764446757,1262.0869565426704
36400,831.1704542230163,904.6607114103045,1422.2600759587226
